CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ACC,228.32,1214.33,4924.48,1825.32,2448.13,3253.94,3253.94,1814.01,1992.13,1968.15,2401.54,2220.23,2633.31,2372.64,4517.5,6441.6,9856.52,20330.18,19221.67,8969.23,16361.54,20194.39,21334.97,26836.99,20806.46,26273.74,25525.55,24945.66,33011.12,28258.23,27128.69,30391.49,41639.95,31299.44
Advance Petroch.,1.31,1.58,4.95,1.53,2.34,3.15,3.87,2.79,,0.81,2.24,,,,,,,,,,,,,2.22,,,2.27,2.03,,3.51,,3.47,3.77,41.58
Aegis Logistics,4.22,3.65,45.0,17.55,23.78,54.86,40.23,22.76,16.23,22.51,19.53,13.24,13.56,11.85,26.47,97.14,411.28,191.42,403.88,115.65,413.32,966.43,500.5,424.35,565.63,2030.39,3249.82,6491.29,8645.59,6778.53,4731.56,10451.03,7213.05,13301.15
Alfred Herbert,,,,,7.1,8.39,8.06,9.55,5.29,3.37,2.45,,,,,4.37,7.47,17.19,12.92,7.68,12.56,15.17,16.5,17.63,18.73,26.9,27.87,42.06,71.21,49.65,40.04,43.03,53.9,53.9
Ambalal Sarabhai,,24.88,189.28,81.84,129.05,132.2,107.02,94.13,58.43,83.42,51.94,32.46,28.24,21.75,43.63,67.71,100.7,94.87,198.1,62.07,82.53,49.81,30.5,19.54,18.16,29.27,51.04,94.64,81.54,109.51,145.99,135.26,267.45,157.17
Amrutanjan Healt,,,,,,,,,,,,,,21.12,28.16,34.69,68.0,90.45,89.38,106.02,308.35,187.81,224.13,169.61,183.42,699.2,609.9,862.6,786.01,908.34,964.46,1661.03,2320.33,1680.62
Andhra Cements,,,,,,,,,30.63,53.87,51.03,31.19,30.05,28.35,18.43,120.77,455.56,,308.96,229.26,367.01,163.98,285.59,193.72,165.25,204.29,240.69,265.05,282.37,149.7,47.55,158.5,432.65,145.29
Andhra Paper,51.23,80.23,154.83,36.6,87.27,167.21,101.34,55.79,37.78,21.73,60.14,53.33,54.06,43.89,94.23,141.55,270.95,214.26,186.93,101.5,261.67,1126.88,524.17,766.96,917.69,1255.14,1168.44,1282.18,1155.12,1776.92,574.68,872.95,1181.17,1645.28
Apollo Tyres,,97.05,1338.24,348.5,446.08,348.5,517.31,321.96,244.76,170.59,427.3,181.42,284.93,447.83,953.71,1095.18,1107.45,1298.5,2012.21,916.27,3575.88,3505.32,3999.24,4203.36,8028.72,8564.34,8907.93,10620.8,15754.26,12685.21,4539.22,14210.38,12136.78,20313.7
Utique Enterp.,18.17,21.56,208.34,89.87,329.43,261.51,,117.87,61.24,55.67,98.54,27.83,3.06,2.51,3.73,22.21,9.91,15.81,32.51,9.52,22.21,16.65,12.86,8.57,10.86,13.31,10.13,15.14,14.75,8.91,6.96,10.19,33.23,23.33
Aravali Sec.&Fin,2.14,3.2,60.8,7.28,39.74,41.66,19.7,9.09,3.11,0.91,6.06,,,,1.61,14.77,42.27,20.91,22.73,11.12,15.41,22.01,18.0,12.48,11.48,7.58,6.17,5.61,5.15,,3.97,2.3,10.23,4.77
Arihant Inds.,,,79.81,35.63,31.18,24.5,11.69,6.07,4.85,,,,,,,,,,,,,,,,,,,,,,,,,
Aruna Hotels,,,,22.28,28.35,51.75,12.15,6.71,,5.76,4.5,1.98,3.2,2.7,2.85,,,,,,,,,,,,,,11.81,6.98,4.77,4.37,34.41,45.09
Arvind Ltd,40.11,59.74,613.8,428.51,1583.75,1343.12,1014.8,1276.99,690.78,331.31,141.78,81.45,230.51,326.8,889.96,2247.85,2102.18,910.8,826.65,293.43,784.09,1756.63,2099.42,1997.23,4482.0,6765.97,7052.62,10174.18,9949.0,2348.24,511.06,1701.13,3009.77,2231.88
Ashok Leyland,205.88,411.34,630.0,695.1,1600.23,1843.42,1486.63,1001.99,492.37,505.45,807.53,560.16,952.63,1159.57,3016.06,2497.53,4916.94,5090.4,4695.96,2407.84,7429.73,7569.41,8061.92,5840.24,6305.86,20931.42,30891.99,24061.89,42530.82,26801.36,12637.44,33303.56,34419.06,40856.21
Asian Hotels (N),87.29,127.06,325.8,161.27,293.22,374.67,472.41,447.45,400.37,324.9,228.57,212.04,160.51,164.16,421.12,779.76,1403.45,1643.42,1283.41,854.32,,428.68,356.91,313.05,204.23,195.08,213.37,222.02,587.39,276.87,130.32,117.67,158.23,220.82
