CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
ACC,6,ACC Ltd,Cement,Cement - Major - North India
Advance Petroch.,8,Advance Petrochemicals Ltd,FMCG,Detergents / Intermediates
Aegis Logistics,9,Aegis Logistics Ltd,Trading,Trading - Medium / Small
Alfred Herbert,11,Alfred Herbert (India) Ltd,Finance,Finance - Investment / Others
Ambalal Sarabhai,14,Ambalal Sarabhai Enterprises Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Amrutanjan Healt,17,Amrutanjan Health Care Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Andhra Cements,19,Andhra Cements Ltd,Cement,Cement - Major - South India
Andhra Paper,20,Andhra Paper Ltd,Paper,Paper - Large
Apollo Tyres,23,Apollo Tyres Ltd,Tyres,Tyres - Large
Utique Enterp.,24,Utique Enterprises Ltd,Finance,Finance - Small
Aravali Sec.&Fin,25,Aravali Securities & Finance Ltd,Finance,Finance - Small
Arihant Inds.,26,Arihant Industries Ltd,Textiles,Textiles - Weaving
Aruna Hotels,28,Aruna Hotels Ltd,Hotels & Restaurants,Hotels - Small
Arvind Ltd,29,Arvind Ltd,Textiles,Textiles - Denim Fabric
Ashok Leyland,31,Ashok Leyland Ltd,Automobile,Automobiles - LCVs/HCVs
Asian Hotels (N),33,Asian Hotels (North) Ltd,Hotels & Restaurants,Hotels - Medium
Asian Paints,34,Asian Paints Ltd,Paints/Varnish,Paints / Varnishes
Assam CO. (I),35,Assam Company India Ltd,Plantation & Plantation Products,Tea - Indian - Medium / Small
SKF India,37,SKF India Ltd,Bearings,Bearings - Large
Asi Industries,38,Asi Industries Ltd,Mining & Mineral products,Mining / Minerals
Astrazeneca Phar,39,Astrazeneca Pharma India Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
Atlas Cycles,42,Atlas Cycles (Haryana) Ltd,Miscellaneous,Cycles And Accessories
Atul,43,Atul Ltd,Chemicals,Dyes And Pigments - Large
Auto.Corp.of Goa,44,Automobile Corporation Of Goa Ltd,Auto Ancillaries,Auto Ancillaries - Sheet Metal
Bagalkot Udyog,49,Bagalkot Udyog Ltd,Finance,Finance - Investment / Others
Bajaj Holdings,50,Bajaj Holdings & Investment Ltd,Finance,NBFC-Holding Companies
Bajaj Electrical,51,Bajaj Electricals Ltd,Consumer Durables,Domestic Appliances - White Goods
Force Motors,53,Force Motors Ltd,Automobile,Automobiles - LCVs/HCVs
Sanathnagar Ent.,54,Sanathnagar Enterprises Ltd,Construction,Construction - Housing - Medium / Small
Balkrishna Inds,55,Balkrishna Industries Ltd,Tyres,Tyres - Large
Ballarpur Inds.,56,Ballarpur Industries Ltd,Paper,Paper - Medium / Small
Bannari Amm.Sug.,57,Bannari Amman Sugars Ltd,Sugar,Sugar - Integrated
Baroda Rayon,58,Baroda Rayon Corporation Ltd,Textiles,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
BASF India,59,BASF India Ltd,Chemicals,Leather Chemicals
Bata India,60,Bata India Ltd,Leather,Leather / Synthetic Footware - Large
Batliboi,61,Batliboi Ltd,Capital Goods-Non Electrical Equipment,Engineering - Light - General - Medium / Small
Bayer Crop Sci.,62,Bayer CropScience Ltd,Agro Chemicals,Pesticides / Agrochemicals - Multinational
BCL Forgings,63,BCL Forgings Ltd,"Castings, Forgings & Fastners",Forgings - Medium / Small
Berger Paints,64,Berger Paints India Ltd,Paints/Varnish,Paints / Varnishes
Bhagawati Oxygen,67,Bhagawati Oxygen Ltd,Chemicals,Industrial Gas
